Treshold: 1 ACC: 0.9999420544337138 MCC: 0.9585747944998609 [[374.0, 33.0], [0.0, 569093.0]]
Treshold: 0.1 ACC: 0.9999420544337138 MCC: 0.9585747944998609 [[374.0, 33.0], [0.0, 569093.0]]
Treshold: 0.01 ACC: 0.9999420544337138 MCC: 0.9585747944998609 [[374.0, 33.0], [0.0, 569093.0]]
Treshold: 0.001 ACC: 0.9999420544337138 MCC: 0.9585747944998609 [[374.0, 33.0], [0.0, 569093.0]]
Treshold: 0.0001 ACC: 0.9999420544337138 MCC: 0.9585747944998609 [[374.0, 33.0], [0.0, 569093.0]]
Treshold: 1e-05 ACC: 0.9999754170324846 MCC: 0.9817809400514071 [[374.0, 14.0], [0.0, 569112.0]]
Treshold: 1e-06 ACC: 0.999982440737489 MCC: 0.9868190287337937 [[373.0, 9.0], [1.0, 569117.0]]
Treshold: 1e-07 ACC: 0.9999859525899912 MCC: 0.9893686888548848 [[372.0, 6.0], [2.0, 569120.0]]
Treshold: 1e-08 ACC: 0.9999947322212467 MCC: 0.9959821937446985 [[372.0, 1.0], [2.0, 569125.0]]
Treshold: 1e-09 ACC: 0.9999929762949956 MCC: 0.9946345357625985 [[370.0, 0.0], [4.0, 569126.0]]
Treshold: 1e-10 ACC: 0.9999929762949956 MCC: 0.9946345357625985 [[370.0, 0.0], [4.0, 569126.0]]
Treshold: 1e-11 ACC: 0.9999929762949956 MCC: 0.9946345357625985 [[370.0, 0.0], [4.0, 569126.0]]
Treshold: 1e-12 ACC: 0.9999929762949956 MCC: 0.9946345357625985 [[370.0, 0.0], [4.0, 569126.0]]
Treshold: 1e-13 ACC: 0.9999912203687445 MCC: 0.9932886529957146 [[369.0, 0.0], [5.0, 569126.0]]
Treshold: 1e-14 ACC: 0.9999806848112379 MCC: 0.9851748455183476 [[363.0, 0.0], [11.0, 569126.0]]
Treshold: 1e-15 ACC: 0.9999771729587358 MCC: 0.9824553904109617 [[361.0, 0.0], [13.0, 569126.0]]
Treshold: 1e-16 ACC: 0.9999701492537313 MCC: 0.9769938294473721 [[357.0, 0.0], [17.0, 569126.0]]
Treshold: 1e-17 ACC: 0.9999631255487269 MCC: 0.9715016427328623 [[353.0, 0.0], [21.0, 569126.0]]
Treshold: 1e-18 ACC: 0.9999543459174715 MCC: 0.964592544642136 [[348.0, 0.0], [26.0, 569126.0]]
Treshold: 1e-19 ACC: 0.9999438103599649 MCC: 0.9562358965384573 [[342.0, 0.0], [32.0, 569126.0]]
